"device","led","datetime","bits","tempC","rh","sys_tempC"
"alpha","ir",2017-02-02 09:55:31,565,20.5,54.9,39.7
"alpha","ir",2017-02-02 09:55:41,564,20.5,54.9,39.7
"alpha","ir",2017-02-02 09:56:01,564,20.5,54.9,42.9
"alpha","ir",2017-02-02 09:56:11,563,20.5,54.9,41.3
"alpha","ir",2017-02-02 09:56:21,564,20.5,55,45.1
"alpha","ir",2017-02-02 09:56:31,564,20.5,55,45.1
"alpha","ir",2017-02-02 09:56:41,564,20.5,54.9,45.1
"alpha","blue",2017-02-02 09:56:41,456,20.5,54.9,45.1
"alpha","ir",2017-02-02 09:56:51,565,20.5,54.9,41.9
"alpha","ir",2017-02-02 09:57:01,564,20.5,54.9,41.3
"alpha","ir",2017-02-02 09:57:11,563,20.5,54.9,40.8
"alpha","ir",2017-02-02 09:57:21,567,20.5,54.9,39.7
"alpha","ir",2017-02-02 09:57:31,568,20.5,54.9,39.7
"alpha","ir",2017-02-02 09:57:41,564,20.5,54.8,40.8
"alpha","ir",2017-02-02 09:57:51,563,20.5,54.8,40.8
"alpha","ir",2017-02-02 09:58:01,564,20.5,54.8,39.7
"alpha","ir",2017-02-02 09:58:11,567,20.5,54.8,40.2
"alpha","ir",2017-02-02 09:58:21,564,20.5,54.8,39.7
"alpha","ir",2017-02-02 09:58:31,566,20.4,54.8,40.8
"alpha","ir",2017-02-02 09:58:41,564,20.5,54.8,39.7
"alpha","ir",2017-02-02 09:58:51,568,20.5,54.8,39.7
"alpha","ir",2017-02-02 09:59:01,567,20.4,54.8,39.7
"alpha","ir",2017-02-02 09:59:11,567,20.4,54.9,39.7
"alpha","ir",2017-02-02 09:59:21,564,20.4,54.8,40.2
"alpha","ir",2017-02-02 09:59:31,565,20.4,54.8,39.2
"alpha","ir",2017-02-02 09:59:41,568,20.4,54.8,39.2
"alpha","ir",2017-02-02 10:00:01,564,20.4,54.8,46.2
"alpha","blue",2017-02-02 10:00:01,456,20.4,54.8,46.2
"alpha","ir",2017-02-02 10:00:11,564,20.4,54.8,41.9
"alpha","ir",2017-02-02 10:00:21,566,20.4,54.8,40.8
"alpha","ir",2017-02-02 10:00:31,566,20.4,54.9,40.8
"alpha","ir",2017-02-02 10:00:41,567,20.4,54.9,39.7
"alpha","ir",2017-02-02 10:00:51,565,20.4,54.9,40.8
"alpha","ir",2017-02-02 10:01:01,567,20.4,54.9,39.7
"alpha","ir",2017-02-02 10:01:11,566,20.4,54.9,39.2
"alpha","ir",2017-02-02 10:01:21,567,20.4,54.9,39.7
