"datetime","pm_dtX","sample_dtX","pm_dtY","sample_dtY"
2017-02-02 13:02:43,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:44,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:45,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:46,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:47,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:48,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:49,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:50,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:51,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:52,0,"MANUAL_028",0.001,"MANUAL_005"
2017-02-02 13:02:53,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:54,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:55,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:56,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:57,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:58,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:02:59,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:00,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:01,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:02,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:03,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:04,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:05,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:06,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:07,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:08,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:09,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:10,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:11,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:12,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:13,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:14,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:15,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:16,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:17,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:18,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:19,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:20,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:21,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:22,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:23,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:24,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:25,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:26,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:27,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:28,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:29,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:30,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:31,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:32,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:33,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:34,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:35,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:36,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:37,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:38,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:39,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:40,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:41,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:42,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:43,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:44,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:45,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:46,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:47,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:48,0,"MANUAL_028",0,"MANUAL_005"
